#scheme	genus	species	description	n_loci	source	database_url	pubmed_id	citation
ureaplasma	Ureaplasma		Ureaplasma spp. MLST	4	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_ureaplasma_seqdef&page=schemeInfo&scheme_id=1	24072679	Zhang J, Kong Y, Feng Y, et al. Development of a multilocus sequence typing scheme for Ureaplasma. Eur J Clin Microbiol Infect Dis 2014;33:537-44.
vcholerae	Vibrio	cholerae	Vibrio cholerae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_vcholerae_seqdef&page=schemeInfo&scheme_id=1	23776471	Octavia S, Salim A, Kurniawan J, et al. Population structure and evolution of non-O1/non-O139 Vibrio cholerae by multilocus sequence typing. PLoS One 2013;8:e65342.
vcholerae_2	Vibrio	cholerae	Vibrio cholerae MLST (O1 and O139)	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_vcholerae_seqdef&page=schemeInfo&scheme_id=2		
vibrio	Vibrio		Vibrio spp. MLST	4	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_vibrio_seqdef&page=schemeInfo&scheme_id=1		
vparahaemolyticus	Vibrio	parahaemolyticus	Vibrio parahaemolyticus MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_vparahaemolyticus_seqdef&page=schemeInfo&scheme_id=1	18281404	González-Escalona N, Martinez-Urtaza J, Romero J, et al. Determination of molecular phylogenetics of Vibrio parahaemolyticus strains by multilocus sequence typing. J Bacteriol 2008;190:2831-40.
vtapetis	Vibrio	tapetis	Vibrio tapetis MLST	10	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_vtapetis_seqdef&page=schemeInfo&scheme_id=1		
vvulnificus	Vibrio	vulnificus	Vibrio vulnificus MLST	10	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_vvulnificus_seqdef&page=schemeInfo&scheme_id=1		
wolbachia	Wolbachia		Wolbachia spp. MLST	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_wolbachia_seqdef&page=schemeInfo&scheme_id=1	16936055	Baldo L, Dunning Hotopp JC, Jolley KA, et al. Multilocus sequence typing system for the endosymbiont Wolbachia pipientis. Appl Environ Microbiol 2006;72:7098-110.
xfastidiosa	Xylella	fastidiosa	Xylella fastidiosa MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_xfastidiosa_seqdef&page=schemeInfo&scheme_id=1	16332839	Scally M, Schuenzel EL, Stouthamer R, et al. Multilocus sequence type system for the plant pathogen Xylella fastidiosa and relative contributions of recombination and point mutation to clonal diversity. Appl Environ Microbiol 2005;71:8491-9.
yersinia	Yersinia		Yersinia spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_yersinia_seqdef&page=schemeInfo&scheme_id=1	25339391	Hall M, Chattaway MA, Reuter S, et al. Use of whole-genus genome sequence data to develop a multilocus sequence typing tool that accurately identifies Yersinia isolates to the species and subspecies levels. J Clin Microbiol 2015;53:35-42.
ypseudotuberculosis_achtman_3	Yersinia	pseudotuberculosis	Yersinia pseudotuberculosis MLST (Achtman)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_ypseudotuberculosis_achtman_seqdef&page=schemeInfo&scheme_id=3	21951486	Laukkanen-Ninios R, Didelot X, Jolley KA, et al. Population structure of the Yersinia pseudotuberculosis complex according to multilocus sequence typing. Environ Microbiol 2011;13:3114-27.
yruckeri	Yersinia	ruckeri	Yersinia ruckeri MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_yruckeri_seqdef&page=schemeInfo&scheme_id=1		
